path_image,lebel
new_data0.jpeg,rouille
new_data1.jpeg,rouille
new_data2.jpeg,rouille
new_data3.jpeg,rouille
new_data4.jpeg,rouille
new_data5.jpeg,rouille
new_data6.jpeg,rouille
new_data7.jpeg,rouille
new_data8.jpeg,rouille
new_data9.jpeg,rouille
new_data10.jpeg,rouille
new_data11.jpeg,rouille
new_data12.jpeg,rouille
new_data13.jpeg,rouille
new_data14.jpeg,rouille
new_data15.jpeg,rouille
new_data16.jpeg,rouille
new_data17.jpeg,rouille
new_data18.jpeg,rouille
new_data19.jpeg,rouille
new_data20.jpeg,rouille
new_data21.jpeg,rouille
new_data22.jpeg,rouille
new_data23.jpeg,rouille
new_data24.jpeg,rouille
new_data25.jpeg,rouille
new_data26.jpeg,rouille
new_data27.jpeg,rouille
new_data28.jpeg,rouille
new_data29.jpeg,rouille
new_data30.jpeg,rouille
new_data31.jpeg,rouille
new_data32.jpeg,rouille
new_data33.jpeg,rouille
new_data34.jpeg,rouille
new_data35.jpeg,rouille
new_data36.jpeg,rouille
new_data37.jpeg,rouille
new_data38.jpeg,rouille
new_data39.jpeg,rouille
new_data40.jpeg,rouille
new_data41.jpeg,rouille
new_data42.jpeg,rouille
new_data43.jpeg,rouille
new_data44.jpeg,rouille
new_data45.jpeg,rouille
new_data46.jpeg,rouille
new_data47.jpeg,rouille
new_data48.jpeg,rouille
new_data49.jpeg,rouille
new_data50.jpeg,rouille
new_data51.jpeg,rouille
new_data52.jpeg,polystigma
new_data53.jpeg,polystigma
new_data54.jpeg,polystigma
new_data55.jpeg,polystigma
new_data56.jpeg,polystigma
new_data57.jpeg,polystigma
new_data58.jpeg,polystigma
new_data59.jpeg,polystigma
new_data60.jpeg,polystigma
new_data61.jpeg,polystigma
new_data62.jpeg,polystigma
new_data63.jpeg,polystigma
new_data64.jpeg,polystigma
new_data65.jpeg,polystigma
new_data66.jpeg,polystigma
new_data67.jpeg,polystigma
new_data68.jpeg,polystigma
new_data69.jpeg,polystigma
new_data70.jpeg,polystigma
new_data71.jpeg,polystigma
new_data72.jpeg,polystigma
new_data73.jpeg,polystigma
new_data74.jpeg,polystigma
new_data75.jpeg,polystigma
new_data76.jpeg,polystigma
new_data77.jpeg,polystigma
new_data78.jpeg,polystigma
new_data79.jpeg,polystigma
new_data80.jpeg,polystigma
new_data81.jpeg,polystigma
new_data82.jpeg,polystigma
new_data83.jpeg,polystigma
new_data84.jpeg,polystigma
new_data85.jpeg,polystigma
new_data86.jpeg,polystigma
new_data87.jpeg,polystigma
new_data88.jpeg,polystigma
new_data89.jpeg,polystigma
new_data90.jpeg,polystigma
new_data91.jpeg,polystigma
new_data92.jpeg,polystigma
new_data93.jpeg,polystigma
new_data94.jpeg,polystigma
new_data95.jpeg,polystigma
new_data96.jpeg,polystigma
new_data97.jpeg,polystigma
new_data98.jpeg,polystigma
new_data99.jpeg,polystigma
new_data100.jpeg,polystigma
new_data101.jpeg,polystigma
new_data102.jpeg,polystigma
new_data103.jpeg,polystigma
new_data104.jpeg,polystigma
new_data105.jpeg,polystigma
new_data106.jpeg,polystigma
new_data107.jpeg,polystigma
new_data108.jpeg,polystigma
new_data109.jpeg,polystigma
new_data110.jpeg,coryneum
new_data111.jpeg,coryneum
new_data112.jpeg,coryneum
new_data113.jpeg,coryneum
new_data114.jpeg,coryneum
new_data115.jpeg,coryneum
new_data116.jpeg,coryneum
new_data117.jpeg,coryneum
new_data118.jpeg,coryneum
new_data119.jpeg,coryneum
new_data120.jpeg,coryneum
new_data121.jpeg,coryneum
